L'Arc~en~Ciel - Clicked Singles Best 13 [2001] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Blurry Eyes                                                  |   4:20   |  33 MB  |
|    02    | flower                                                       |   4:58   |  39 MB  |
|    03    | Lies and Truth                                               |   5:26   |  41 MB  |
|    04    | Niji                                                         |   5:08   |  39 MB  |
|    05    | winter fall                                                  |   4:53   |  37 MB  |
|    06    | DIVE TO BLUE                                                 |   5:31   |  44 MB  |
|    07    | HONEY                                                        |   3:47   |  29 MB  |
|    08    | HEAVEN'S DRIVE                                               |   4:19   |  34 MB  |
|    09    | Pieces                                                       |   5:45   |  44 MB  |
|    10    | Driver's High                                                |   4:10   |  32 MB  |
|    11    | NEO UNIVERSE                                                 |   4:09   |  33 MB  |
|    12    | STAY AWAY                                                    |   3:59   |  31 MB  |
|    13    | Anemone                                                      |   5:52   |  41 MB  |
|----------|--------------------------------------------------------------|----------|---------|

