L'Arc~en~Ciel - DUNE (Remastered 2023) [2023] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Shutting from the sky (Remastered 2023)                      |   5:33   |  44 MB  |
|    02    | Voice (Remastered 2023)                                      |   4:52   |  38 MB  |
|    03    | Taste of love (Remastered 2023)                              |   5:01   |  40 MB  |
|    04    | Entichers (Remastered 2023)                                  |   4:18   |  33 MB  |
|    05    | Floods of tears (Remastered 2023)                            |   6:13   |  45 MB  |
|    06    | Dune (Remastered 2023)                                       |   5:06   |  41 MB  |
|    07    | Be destined (Remastered 2023)                                |   4:25   |  35 MB  |
|    08    | Tsuioku no Joukei (Remastered 2023)                          |   6:18   |  45 MB  |
|    09    | As if in a dream (Remastered 2023)                           |   5:32   |  41 MB  |
|    10    | Ushinawareta Nagame (Remastered 2023)                        |   3:43   |  21 MB  |
|    11    | Floods of tears (single version)  (Remastered 2023)          |   5:44   |  41 MB  |
|    12    | Yasouka (Remastered 2023)                                    |   5:33   |  37 MB  |
|    13    | Yokan (Remastered 2023)                                      |   5:37   |  42 MB  |
|----------|--------------------------------------------------------------|----------|---------|

