L'Arc~en~Ciel - HEART (Remastered 2022) [1998] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | LORELEY (Remastered 2022)                                    |   5:58   |  135 MB |
|    02    | winter fall (Remastered 2022)                                |   4:53   |  112 MB |
|    03    | Singin' in the Rain (Remastered 2022)                        |   4:34   |  103 MB |
|    04    | Shout at the Devil (Remastered 2022)                         |   3:57   |  92 MB  |
|    05    | Niji (Remastered 2022)                                       |   5:07   |  115 MB |
|    06    | birth! (Remastered 2022)                                     |   4:16   |  97 MB  |
|    07    | Promised land (Remastered 2022)                              |   4:29   |  101 MB |
|    08    | fate (Remastered 2022)                                       |   5:41   |  76 MB  |
|    09    | milky way (Remastered 2022)                                  |   4:28   |  101 MB |
|    10    | Anata (Remastered 2022)                                      |   5:15   |  118 MB |
|----------|--------------------------------------------------------------|----------|---------|

