L'Arc~en~Ciel - REAL [2005] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | get out from the shell -asian version-                       |   4:16   |  32 MB  |
|    02    | THE NEPENTHES                                                |   3:26   |  28 MB  |
|    03    | NEO UNIVERSE                                                 |   4:08   |  34 MB  |
|    04    | bravery                                                      |   5:27   |  40 MB  |
|    05    | LOVE FLIES                                                   |   4:54   |  39 MB  |
|    06    | finale                                                       |   6:26   |  47 MB  |
|    07    | STAY AWAY                                                    |   3:59   |  31 MB  |
|    08    | ROUTE 666                                                    |   4:28   |  34 MB  |
|    09    | TIME SLIP                                                    |   5:00   |  34 MB  |
|    10    | a silent letter                                              |   6:39   |  41 MB  |
|    11    | ALL YEAR AROUND FALLING IN LOVE                              |   5:33   |  40 MB  |
|----------|--------------------------------------------------------------|----------|---------|

