L'Arc~en~Ciel - SMILE (Remastered 2022) [2004] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Kuchizuke (Remastered 2022)                                  |   4:24   |  101 MB |
|    02    | READY STEADY GO (Remastered 2022)                            |   3:45   |  90 MB  |
|    03    | Lover Boy (Remastered 2022)                                  |   4:44   |  112 MB |
|    04    | Feeling Fine (Remastered 2022)                               |   4:16   |  100 MB |
|    05    | Time goes on (Remastered 2022)                               |   4:43   |  108 MB |
|    06    | Coming Closer (Remastered 2022)                              |   5:14   |  121 MB |
|    07    | Eien (Remastered 2022)                                       |   4:39   |  106 MB |
|    08    | REVELATION (Remastered 2022)                                 |   3:18   |  75 MB  |
|    09    | Hitomi no Juunin (Remastered 2022)                           |   5:55   |  131 MB |
|    10    | Spirit dreams inside (Remastered 2022)                       |   3:44   |  86 MB  |
|----------|--------------------------------------------------------------|----------|---------|

