L'Arc~en~Ciel - SMILE [2004] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Kuchizuke                                                    |   4:24   |  33 MB  |
|    02    | READY STEADY GO                                              |   3:45   |  30 MB  |
|    03    | Lover Boy                                                    |   4:45   |  37 MB  |
|    04    | Feeling Fine                                                 |   4:16   |  33 MB  |
|    05    | Time goes on                                                 |   4:43   |  36 MB  |
|    06    | Coming Closer                                                |   5:14   |  39 MB  |
|    07    | Eien                                                         |   4:39   |  35 MB  |
|    08    | REVELATION                                                   |   3:18   |  25 MB  |
|    09    | Hitomi no Juunin                                             |   5:55   |  42 MB  |
|    10    | Spirit dreams inside                                         |   3:43   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|

