L'Arc~en~Ciel - TWENITY 1997-1999 [2011] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Niji                                                         |   5:10   |  41 MB  |
|    02    | winter fall                                                  |   4:53   |  40 MB  |
|    03    | LORELEY                                                      |   6:02   |  46 MB  |
|    04    | Shout at the Devil                                           |   3:57   |  31 MB  |
|    05    | fate                                                         |   5:44   |  44 MB  |
|    06    | Anata                                                        |   5:21   |  40 MB  |
|    07    | HONEY                                                        |   3:49   |  31 MB  |
|    08    | Kasou                                                        |   5:15   |  41 MB  |
|    09    | snow drop (ray mix)                                          |   4:33   |  36 MB  |
|    10    | HEAVEN'S DRIVE                                               |   4:22   |  36 MB  |
|    11    | Pieces (ark mix)                                             |   5:44   |  42 MB  |
|    12    | Driver's High                                                |   4:13   |  33 MB  |
|    13    | Shinjitsu to Gensou to                                       |   5:27   |  40 MB  |
|    14    | Sell my Soul                                                 |   4:43   |  35 MB  |
|    15    | Ibara no Namida                                              |   5:19   |  44 MB  |
|----------|--------------------------------------------------------------|----------|---------|

