L'Arc~en~Ciel - The Best of L'Arc-en-Ciel 1994-1998 [2003] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | In the Air                                                   |   4:57   |  37 MB  |
|    02    | Blurry Eyes                                                  |   4:21   |  34 MB  |
|    03    | Vivid Colors                                                 |   4:48   |  38 MB  |
|    04    | and She Said                                                 |   4:44   |  37 MB  |
|    05    | Natsu no Yuuutsu [time to say good-bye]                      |   5:02   |  39 MB  |
|    06    | Kaze ni Kienaide                                             |   4:40   |  37 MB  |
|    07    | flower                                                       |   4:59   |  39 MB  |
|    08    | Lies and Truth                                               |   5:25   |  42 MB  |
|    09    | Caress of Venus                                              |   4:27   |  35 MB  |
|    10    | the Fourth Avenue Cafe                                       |   5:04   |  39 MB  |
|    11    | Niji                                                         |   5:09   |  39 MB  |
|    12    | winter fall                                                  |   4:54   |  38 MB  |
|    13    | Shout at the Devil                                           |   3:54   |  31 MB  |
|    14    | fate                                                         |   5:41   |  43 MB  |
|    15    | Anata                                                        |   5:12   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

