L'Arc~en~Ciel - Tierra (Remastered 2022) [1994] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | In the Air (Remastered 2022)                                 |   4:51   |  112 MB |
|    02    | All Dead (Remastered 2022)                                   |   4:17   |  100 MB |
|    03    | Blame (Remastered 2022)                                      |   5:11   |  118 MB |
|    04    | Wind of Gold (Remastered 2022)                               |   4:29   |  100 MB |
|    05    | Blurry Eyes (Remastered 2022)                                |   4:20   |  100 MB |
|    06    | Inner Core (Remastered 2022)                                 |   5:31   |  132 MB |
|    07    | Nemuri ni Yosete (Remastered 2022)                           |   5:15   |  123 MB |
|    08    | Kaze no Yukue (Remastered 2022)                              |   5:24   |  124 MB |
|    09    | Hitomi ni Utsuru Mono (Remastered 2022)                      |   4:47   |  100 MB |
|    10    | White Feathers (Remastered 2022)                             |   7:55   |  183 MB |
|----------|--------------------------------------------------------------|----------|---------|

