L'Arc~en~Ciel - Tierra [1994] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | In the Air                                                   |   4:51   |  36 MB  |
|    02    | All Dead                                                     |   4:17   |  33 MB  |
|    03    | Blame                                                        |   5:11   |  37 MB  |
|    04    | Wind of Gold                                                 |   4:29   |  29 MB  |
|    05    | Blurry Eyes                                                  |   4:20   |  32 MB  |
|    06    | Inner Core                                                   |   5:31   |  43 MB  |
|    07    | Nemuri ni Yosete                                             |   5:15   |  39 MB  |
|    08    | Kaze no Yukue                                                |   5:24   |  39 MB  |
|    09    | Hitomi ni Utsuru Mono                                        |   4:47   |  25 MB  |
|    10    | White Feathers                                               |   7:58   |  57 MB  |
|----------|--------------------------------------------------------------|----------|---------|

