L'Arc~en~Ciel - True (Remastered 2022) [1996] [Album] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Fare Well (Remastered 2022)                                  |   4:57   |  113 MB |
|    02    | Caress of Venus (Remastered 2022)                            |   4:25   |  106 MB |
|    03    | Round and Round (Remastered 2022)                            |   3:25   |  82 MB  |
|    04    | flower (Remastered 2022)                                     |   4:58   |  115 MB |
|    05    | “good-morning Hide” (Remastered 2022)                        |   5:02   |  70 MB  |
|    06    | the Fourth Avenue Café (Remastered 2022)                     |   5:03   |  120 MB |
|    07    | Lies and Truth (“True” Mix) (Remastered 2022)                |   5:52   |  139 MB |
|    08    | Kaze ni Kienaide (“True” Mix) (Remastered 2022)              |   4:37   |  109 MB |
|    09    | I Wish (Remastered 2022)                                     |   4:35   |  105 MB |
|    10    | Dearest Love (Remastered 2022)                               |   6:48   |  159 MB |
|----------|--------------------------------------------------------------|----------|---------|

