L'Arc~en~Ciel - True [1996] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Fare Well                                                    |   4:57   |  36 MB  |
|    02    | Caress of Venus                                              |   4:25   |  33 MB  |
|    03    | Round and Round                                              |   3:25   |  27 MB  |
|    04    | flower                                                       |   4:58   |  38 MB  |
|    05    | “good-morning Hide”                                          |   5:02   |  39 MB  |
|    06    | the Fourth Avenue Café                                       |   5:03   |  38 MB  |
|    07    | Lies and Truth (“True” Mix)                                  |   5:52   |  46 MB  |
|    08    | Kaze ni Kienaide (“True” Mix)                                |   4:37   |  35 MB  |
|    09    | I Wish                                                       |   4:35   |  34 MB  |
|    10    | Dearest Love                                                 |   6:47   |  53 MB  |
|----------|--------------------------------------------------------------|----------|---------|

