L'Arc~en~Ciel - WORLD'S BEST SELECTION [2012] [Best Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | X X X -English version-                                      |   4:04   |  32 MB  |
|    02    | Hitomi no Juunin                                             |   5:56   |  43 MB  |
|    03    | MY HEART DRAWS A DREAM                                       |   4:17   |  33 MB  |
|    04    | Blurry Eyes                                                  |   4:20   |  32 MB  |
|    05    | Niji                                                         |   5:08   |  36 MB  |
|    06    | Jojoushi                                                     |   5:09   |  39 MB  |
|    07    | flower                                                       |   4:58   |  39 MB  |
|    08    | the Fourth Avenue Café                                       |   5:02   |  39 MB  |
|    09    | STAY AWAY                                                    |   3:57   |  29 MB  |
|    10    | HONEY                                                        |   3:47   |  29 MB  |
|    11    | READY STEADY GO                                              |   3:49   |  30 MB  |
|    12    | Anata                                                        |   5:18   |  39 MB  |
|    13    | Driver’s High                                                |   4:12   |  31 MB  |
|    14    | GOOD LUCK MY WAY                                             |   4:22   |  35 MB  |
|    15    | New World                                                    |   4:07   |  32 MB  |
|    16    | CHASE -English version-                                      |   4:25   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

