L'Arc~en~Ciel - ark [1999] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | forbidden lover                                              |   6:01   |  41 MB  |
|    02    | HEAVEN'S DRIVE                                               |   4:15   |  34 MB  |
|    03    | Driver's High                                                |   4:10   |  30 MB  |
|    04    | Cradle                                                       |   4:56   |  34 MB  |
|    05    | DIVE TO BLUE                                                 |   5:33   |  43 MB  |
|    06    | Larva                                                        |   3:55   |  27 MB  |
|    07    | Butterfly's Sleep                                            |   5:10   |  38 MB  |
|    08    | Perfect Blue                                                 |   3:48   |  26 MB  |
|    09    | Shinjitsu to Gensou to                                       |   5:22   |  38 MB  |
|    10    | What is love                                                 |   4:13   |  30 MB  |
|    11    | Pieces (ark mix)                                             |   5:45   |  41 MB  |
|----------|--------------------------------------------------------------|----------|---------|

