L'Arc~en~Ciel - ectomorphed works [2000] [Remix Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | larva (ectomorphed long mix)                                 |   7:44   |  57 MB  |
|    02    | trick (new 2 wave of japanese heavy metal mix)               |   4:47   |  38 MB  |
|    03    | Kasou (0628 mix)                                             |   5:08   |  38 MB  |
|    04    | fate (everybody knows but god mix)                           |   6:27   |  45 MB  |
|    05    | Shinshoku -lose control- (ectoborn mix)                      |   5:58   |  40 MB  |
|    06    | a swell in the sun (system in chaos mix)                     |   4:39   |  31 MB  |
|    07    | L'heure (quiet afternoon mix)                                |   5:08   |  31 MB  |
|    08    | Cradle (down to the moon mix)                                |   7:21   |  40 MB  |
|    09    | Shinjitsu to Gensou to (out of the reality mix #2)           |   7:04   |  40 MB  |
|    10    | metropolis (android goes to be a deep sleep mix)             |   10:00  |  69 MB  |
|----------|--------------------------------------------------------------|----------|---------|

