L'Arc~en~Ciel - ray (Regular Edition) [1999] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Shi no Hai                                                   |   4:08   |  33 MB  |
|    02    | It's the end                                                 |   3:25   |  27 MB  |
|    03    | HONEY                                                        |   3:48   |  31 MB  |
|    04    | Sell my Soul                                                 |   4:39   |  35 MB  |
|    05    | snow drop (ray mix)                                          |   4:33   |  35 MB  |
|    06    | L'heure                                                      |   4:04   |  27 MB  |
|    07    | Kasou                                                        |   5:12   |  40 MB  |
|    08    | Shinshoku -lose control-                                     |   4:45   |  35 MB  |
|    09    | trick                                                        |   3:47   |  30 MB  |
|    10    | Ibara no Namida                                              |   5:22   |  42 MB  |
|    11    | the silver shining                                           |   5:40   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

