LIN ~the end of corruption world~ - Reflect of Killing Fleur [2013] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | The Psalms and Lamentations                                  |   5:16   |  42 MB  |
|    02    | Insane flashback show                                        |   4:22   |  36 MB  |
|    03    | Royal Blood                                                  |   4:47   |  38 MB  |
|    04    | Ambient Cosmo                                                |   4:42   |  38 MB  |
|    05    | FREEDOM                                                      |   5:39   |  44 MB  |
|    06    | GASP FOR BREATH                                              |   5:25   |  41 MB  |
|    07    | Feeling Universe                                             |   5:27   |  45 MB  |
|    08    | Call back                                                    |   4:36   |  37 MB  |
|    09    | Walking in the rain                                          |   5:55   |  47 MB  |
|    10    | Lunar Eclipse ~in the shadow~                                |   4:02   |  32 MB  |
|    11    | Foolish                                                      |   4:52   |  38 MB  |
|    12    | World In Flames                                              |   4:25   |  37 MB  |
|----------|--------------------------------------------------------------|----------|---------|

