LM.C - B-Side BEST!! [2013] [Best Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Geki FANFARE                                                 |   4:04   |  33 MB  |
|    02    | @FUNNY PHANTOM@                                              |   4:27   |  35 MB  |
|    03    | mR. century                                                  |   4:06   |  29 MB  |
|    04    | Haunted House make a Secret                                  |   4:42   |  32 MB  |
|    05    | marble-s                                                     |   4:39   |  32 MB  |
|    06    | maple leaf                                                   |   4:45   |  37 MB  |
|    07    | Tiny Circus                                                  |   4:19   |  30 MB  |
|    08    | ...with VAMPIRE                                              |   3:37   |  28 MB  |
|    09    | DAYS                                                         |   3:51   |  30 MB  |
|    10    | Ningyo no Namida                                             |   3:59   |  28 MB  |
|    11    | A Blueberry Night                                            |   4:07   |  33 MB  |
|    12    | YASHA Hime                                                   |   4:10   |  33 MB  |
|    13    | BAD SPIDER                                                   |   3:35   |  28 MB  |
|    14    | Shibuya Cantabile                                            |   4:48   |  37 MB  |
|    15    | ☆Rock the LM.C☆                                              |   4:36   |  36 MB  |
|    16    | No Fun, No Future.                                           |   2:57   |  22 MB  |
|    17    | MAD or DIE.                                                  |   3:58   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|

