Laputa - CAKERA [1999] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Sadness                                                      |   4:40   |  30 MB  |
|    02    | Virgin Cry                                                   |   3:37   |  28 MB  |
|    03    | Jesus                                                        |   3:49   |  28 MB  |
|    04    | Starting Paranoia                                            |   3:39   |  26 MB  |
|    05    | Chimes                                                       |   3:58   |  29 MB  |
|    06    | Refrain Limit / Drug Habit                                   |   4:42   |  35 MB  |
|    07    | Breath                                                       |   4:18   |  33 MB  |
|    08    | Feelin' the Sky                                              |   4:46   |  36 MB  |
|    09    | Masquerade                                                   |   4:52   |  36 MB  |
|    10    | After Lovers                                                 |   5:15   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

