Laputa - EMADARA [1997] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | ALKALOID                                                     |   3:52   |  29 MB  |
|    02    | LOWSPIRITED                                                  |   4:08   |  32 MB  |
|    03    | MONOCHROME                                                   |   4:39   |  34 MB  |
|    04    | REINCARNATION MORNING                                        |   4:36   |  32 MB  |
|    05    | MOVE ON DARKNESS                                             |   5:06   |  34 MB  |
|    06    | B.C.                                                         |   4:13   |  33 MB  |
|    07    | MARK MARS                                                    |   3:59   |  30 MB  |
|    08    | OVER MIND                                                    |   5:01   |  35 MB  |
|    09    | EVE                                                          |   5:14   |  38 MB  |
|    10    | STAY                                                         |   3:58   |  28 MB  |
|    11    | FREESIA                                                      |   5:25   |  36 MB  |
|----------|--------------------------------------------------------------|----------|---------|

