Laputa - Heaven [2001] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Blast-off Time                                               |   1:56   |  17 MB  |
|    02    | Programized Heaven                                           |   4:58   |  38 MB  |
|    03    | Silent on-looker                                             |   4:16   |  35 MB  |
|    04    | Devil's Waiting                                              |   4:14   |  35 MB  |
|    05    | Sapless Heart                                                |   5:18   |  42 MB  |
|    06    | Dazzling Sun                                                 |   3:28   |  30 MB  |
|    07    | Shape                                                        |   4:30   |  37 MB  |
|    08    | I Cry “Dance”                                                |   4:10   |  32 MB  |
|    09    | Borderline                                                   |   4:05   |  33 MB  |
|    10    | Blindman's Buff                                              |   3:08   |  27 MB  |
|    11    | Black Sheep                                                  |   3:51   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|

