Laputa - New Temptation [2002] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Input Device 5670 >>> GoneRockShitHatch                      |   2:16   |  15 MB  |
|    02    | New Temptation                                               |   4:01   |  31 MB  |
|    03    | Everything                                                   |   4:15   |  32 MB  |
|    04    | Night and Day                                                |   3:54   |  30 MB  |
|    05    | Last                                                         |   5:19   |  39 MB  |
|    06    | Dummy                                                        |   4:48   |  34 MB  |
|    07    | Generator ~Sad Vibes Generation~                             |   3:56   |  31 MB  |
|    08    | Target                                                       |   5:04   |  39 MB  |
|    09    | Walk On                                                      |   5:03   |  39 MB  |
|    10    | Love Song                                                    |   4:11   |  31 MB  |
|    11    | Kiss in the Clouds                                           |   5:46   |  41 MB  |
|    12    | Output Device 9>>>0 NineDay's Wonder                         |   1:34   |  10 MB  |
|----------|--------------------------------------------------------------|----------|---------|

