MEJIBRAY - SM (Regular Edition) [2014] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Karma -Gareki no Mantichoras-                                |   4:10   |  32 MB  |
|    02    | KILLING ME                                                   |   4:15   |  33 MB  |
|    03    | Sabato                                                       |   4:58   |  38 MB  |
|    04    | Sadisgate                                                    |   3:52   |  29 MB  |
|    05    | EMILY                                                        |   6:17   |  44 MB  |
|    06    | Avalon                                                       |   5:52   |  45 MB  |
|    07    | DIE KUSSE                                                    |   4:16   |  34 MB  |
|    08    | A Priori                                                     |   4:11   |  33 MB  |
|    09    | Shuuei                                                       |   3:45   |  28 MB  |
|    10    | DECADANCE - Counting Goats … if I can't be yours -           |   5:39   |  43 MB  |
|    11    | Divergence                                                   |   4:01   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|

