MEJIBRAY - THE “420” THEATRICAL ROSES (Regular Edition) [2014] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | IDEA                                                         |   0:57   |  12 MB  |
|    02    | Theatrical Blue Black (al ver.)                              |   4:31   |  60 MB  |
|    03    | DiefiL                                                       |   4:18   |  56 MB  |
|    04    | Hungry Psychopath                                            |   4:42   |  59 MB  |
|    05    | Mr.RAIN wa Shindafuri                                        |   3:56   |  49 MB  |
|    06    | RAVEN (al ver.)                                              |   4:03   |  52 MB  |
|    07    | Maisou Mushi                                                 |   3:44   |  45 MB  |
|    08    | Contagion                                                    |   3:41   |  47 MB  |
|    09    | Echo                                                         |   6:28   |  82 MB  |
|    10    | hatred × tangle red × hunger red                             |   4:01   |  53 MB  |
|    11    | Shunkan no Ideal                                             |   4:46   |  61 MB  |
|    12    | BOWWOW                                                       |   4:04   |  53 MB  |
|    13    | SUICIDAL WORD GAME                                           |   3:06   |  40 MB  |
|    14    | SERVANT                                                      |   2:24   |  30 MB  |
|    15    | Cristate                                                     |   4:20   |  54 MB  |
|    16    | Tori wa Oyogikata wo Shirazu Obore Nakigara                  |   6:50   |  82 MB  |
|    17    | COPERNICUS                                                   |   2:31   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|

