Mgła - Torn Aether (Live Recordings 2013-2022) [2024] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Age of Excuse II (Live in Oberhausen 2021)                   |   6:35   |  52 MB  |
|    02    | Age of Excuse III (Live in Skopje 2019)                      |   6:01   |  49 MB  |
|    03    | With Hearts Toward None III (Live in Brussels 2013)          |   7:07   |  51 MB  |
|    04    | Mdlosci II (Live in Los Angeles 2022)                        |   3:48   |  30 MB  |
|    05    | Exercises in Futility II (Live in London 2022)               |   6:43   |  50 MB  |
|    06    | With Hearts Toward None I (Live in Paris 2022)               |   4:33   |  36 MB  |
|    07    | Groza III (Live in Vilnius 2017)                             |   5:39   |  43 MB  |
|    08    | Exercises in Futility I (Live in London 2015)                |   6:58   |  52 MB  |
|    09    | Further Down the Nest II (Live in Wroclaw 2019)              |   6:12   |  48 MB  |
|    10    | Mdlosci I (Live in Neustadt an der Orla 2013)                |   5:58   |  41 MB  |
|    11    | Exercises in Futility III (Live in Warszawa 2017)            |   4:38   |  37 MB  |
|    12    | With Hearts Toward None IV (Live in Arnhem 2013)             |   5:13   |  36 MB  |
|    13    | Further Down the Nest I (Live in Munich 2016)                |   4:32   |  37 MB  |
|    14    | Age of Excuse V (Live in Tampere 2022)                       |   6:34   |  52 MB  |
|    15    | Age of Excuse IV (Live in Milton Keynes 2022)                |   5:02   |  40 MB  |
|    16    | Exercises in Futility V (Live in Barcelona 2019)             |   8:24   |  65 MB  |
|    17    | Age of Excuse VI (Live in Aarburg 2022)                      |   7:42   |  58 MB  |
|    18    | Exercises in Futility IV (Live in Sundsvall 2022)            |   4:40   |  37 MB  |
|    19    | With Hearts Toward None VII (Live in Toulouse 2019)          |   9:08   |  71 MB  |
|    20    | Exercises in Futility VI (Live in Aleksandrow Lodzki 2021)   |   6:36   |  52 MB  |
|----------|--------------------------------------------------------------|----------|---------|

