Morning Musume - 16th ~That's J-POP~ [2021] [Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Aishite Nan ga Warui!?                                       |   3:37   |  29 MB  |
|    02    | Gyuusaretai Dake na no ni                                    |   3:57   |  32 MB  |
|    03    | Shinjiru Shika!                                              |   4:23   |  33 MB  |
|    04    | TIME IS MONEY!                                               |   3:28   |  27 MB  |
|    05    | Nakimushi My Dream                                           |   5:00   |  37 MB  |
|    06    | Futari wa Abekobe                                            |   3:41   |  28 MB  |
|    07    | Junjou Evidence                                              |   4:13   |  34 MB  |
|    08    | Kono Mama!                                                   |   4:03   |  35 MB  |
|    09    | KOKORO & KARADA                                              |   4:32   |  34 MB  |
|    10    | Jinsei Blues                                                 |   4:29   |  36 MB  |
|    11    | Hey! Unfair Baby                                             |   4:52   |  40 MB  |
|    12    | Ren'ai Destiny ~Hon'ne wo Ronjitai~                          |   4:00   |  32 MB  |
|    13    | LOVEpedia                                                    |   4:44   |  39 MB  |
|    14    | Ningen Kankei No way way                                     |   4:49   |  42 MB  |
|    15    | Seishun Night                                                |   4:06   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

