Morning Musume - Ai no Dai 6 Kan [2004] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Namida ga Tomaranai Houkago                                  |   3:46   |  48 MB  |
|    02    | Sukiyaki                                                     |   3:05   |  38 MB  |
|    03    | Haru no Uta                                                  |   4:16   |  52 MB  |
|    04    | Joshi Kashimashi Monogatari                                  |   6:00   |  78 MB  |
|    05    | Chokkan ~Toki to Shite Koi wa~                               |   4:15   |  56 MB  |
|    06    | Dokusenyoku                                                  |   3:46   |  47 MB  |
|    07    | Lemon Iro to Milk Tea                                        |   3:31   |  46 MB  |
|    08    | Roman ~MY DEAR BOY~                                          |   3:56   |  52 MB  |
|    09    | Koe                                                          |   5:36   |  71 MB  |
|    10    | HELP!!                                                       |   2:28   |  33 MB  |
|    11    | SHIP! TO THE FUTURE                                          |   3:33   |  45 MB  |
|    12    | Joshi Kashimashi Monogatari 2                                |   5:08   |  66 MB  |
|----------|--------------------------------------------------------------|----------|---------|

