Morning Musume - COVER YOU [2008] [Cover Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Nagisa no Sindbad                                            |   2:34   |  20 MB  |
|    02    | Dou ni mo Tomaranai                                          |   2:50   |  22 MB  |
|    03    | Izakaya                                                      |   3:48   |  25 MB  |
|    04    | Pepper Keibu (Album Version)                                 |   4:23   |  30 MB  |
|    05    | Shiroi Chou no Samba                                         |   3:25   |  24 MB  |
|    06    | Seishun Jidai                                                |   3:01   |  23 MB  |
|    07    | Ringo Satsujin Jiken                                         |   4:22   |  33 MB  |
|    08    | Romance (Album Version)                                      |   3:38   |  28 MB  |
|    09    | Machi no Akari                                               |   3:34   |  22 MB  |
|    10    | Koi no Dial 6700                                             |   3:01   |  22 MB  |
|    11    | Pinponpan Taisou                                             |   4:14   |  33 MB  |
|    12    | Watashi no Aoi Tori                                          |   3:15   |  22 MB  |
|    13    | Johnny e no Dengon                                           |   3:54   |  27 MB  |
|    14    | UFO                                                          |   3:05   |  23 MB  |
|----------|--------------------------------------------------------------|----------|---------|

