Morning Musume - Hatachi no Morning Musume [2018] [EP] [24-96 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Morning Coffee (20th Anniversary Ver.)                       |   4:10   |  100 MB |
|    02    | WE ARE LEADERS! ~Leader tte no mo Tsurai Mono~               |   4:28   |  103 MB |
|    03    | Hana ga Saku Taiyou Abite                                    |   4:17   |  98 MB  |
|    04    | ENDLESS HOME                                                 |   5:41   |  123 MB |
|    05    | Otenki no Hi no Matsuri                                      |   4:31   |  106 MB |
|    06    | Tane wa Tsubasa (Wings of the Seed)                          |   4:12   |  96 MB  |
|    07    | Gosenfu no Tasuki                                            |   4:28   |  103 MB |
|    08    | Ai no Tane (20th Anniversary Ver.)                           |   4:06   |  105 MB |
|----------|--------------------------------------------------------------|----------|---------|

