Morning Musume - Morning Musume '14 Coupling Collection 2 [2014] [Best Album] [FLAC - WEB]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Aishite Aishite Ato Ippun                                    |   3:51   |  31 MB  |
|    02    | Nakidasu Kamo Shirenai yo                                    |   4:18   |  34 MB  |
|    03    | Tomo                                                         |   4:52   |  38 MB  |
|    04    | Kura Zushi Bikkurapon!                                       |   2:13   |  19 MB  |
|    05    | Aisare Sugiru Koto wa Nai no yo                              |   4:48   |  40 MB  |
|    06    | Motto Aishite Hoshii no                                      |   4:20   |  37 MB  |
|    07    | Yamete yo! Sindbad                                           |   3:43   |  32 MB  |
|    08    | Kare to Issho ni Omise ga Shitai!                            |   4:43   |  40 MB  |
|    09    | Jishin Motte Yume wo Motte Tobitatsu Kara                    |   4:07   |  34 MB  |
|    10    | Kanashiki Koi no Melody                                      |   4:22   |  38 MB  |
|    11    | Watashi ga Ite Kimi ga Iru                                   |   3:57   |  33 MB  |
|    12    | Egao ni Namida ~THANK YOU! DEAR MY FRIENDS~                  |   4:39   |  40 MB  |
|    13    | Watashi no Jidai!                                            |   4:12   |  35 MB  |
|    14    | Aisaretai no ni...                                           |   4:48   |  37 MB  |
|    15    | Seishun Domannaka                                            |   3:57   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Futsuu no Shoujo A                                           |   3:49   |  30 MB  |
|    02    | Daisuki 100 Manten                                           |   4:26   |  35 MB  |
|    03    | Shinnen Dake wa Tsuranukitoose!                              |   4:00   |  33 MB  |
|    04    | Love Innovation                                              |   4:35   |  36 MB  |
|    05    | Happy Daisakusen                                             |   4:24   |  37 MB  |
|    06    | Aishuu Romantic                                              |   4:54   |  41 MB  |
|    07    | Watashi no Dekkai Hana                                       |   5:03   |  40 MB  |
|    08    | Nani wa Tomo Are!                                            |   4:39   |  39 MB  |
|    09    | Daisuki Dakara Zettai ni Yurusanai                           |   4:16   |  33 MB  |
|    10    | A B C D E-cha E-cha Shitai                                   |   4:23   |  37 MB  |
|    11    | Tokimeku Tokimeke                                            |   3:45   |  31 MB  |
|    12    | Itsumo to Onnaji Seifuku de                                  |   4:00   |  34 MB  |
|    13    | Rock no Teigi                                                |   4:06   |  34 MB  |
|    14    | Makeru Kishinai Kon'ya no Shoubu                             |   4:39   |  39 MB  |
|    15    | Bouya                                                        |   3:44   |  33 MB  |
|    16    | Funwari Koibito Ichinensei                                   |   4:43   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

