Morning Musume - Morning Musume '25 Concert Tour Aki ~Movin' Forward with Hope~ Haga Akane Yokoyama Reina Sotsugyou Special [2026] [Live Album] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Love & Pea~ce! HERO ga Yattekita.                            |   3:42   |  29 MB  |
|    02    | Teka HAPPY no HAPPY!                                         |   4:04   |  30 MB  |
|    03    | Akaruku Ii Ko                                                |   3:49   |  30 MB  |
|    04    | Sexy Cat no Enzetsu                                          |   3:07   |  25 MB  |
|    05    | HEAVY GATE                                                   |   2:55   |  24 MB  |
|    06    | Chikyuu ga Naiteiru                                          |   3:31   |  28 MB  |
|    07    | Romance ni Mezameru Mousou Joshi no Uta                      |   3:18   |  27 MB  |
|    08    | What is LOVE?                                                |   3:14   |  27 MB  |
|    09    | Loving you forever (Morning Musume '25 Ver.)                 |   4:07   |  32 MB  |
|    10    | Give me Love                                                 |   2:13   |  18 MB  |
|    11    | Ookii Hitomi                                                 |   2:39   |  21 MB  |
|    12    | Rock no Teigi                                                |   2:30   |  20 MB  |
|    13    | Only you                                                     |   2:47   |  22 MB  |
|    14    | Bon Kyu! Bon Kyu! BOMB GIRL                                  |   2:16   |  18 MB  |
|    15    | Toki wo Koe Sora wo Koe                                      |   3:23   |  26 MB  |
|    16    | OVE Machine (updated 23 Ver.)                                |   3:36   |  29 MB  |
|    17    | Inspiration!                                                 |   3:21   |  27 MB  |
|    18    | Go Girl ~Koi no Victory~                                     |   2:58   |  24 MB  |
|    19    | What's Up? Ai wa Dou na no yo~                               |   3:31   |  29 MB  |
|    20    | Watashi no Lamentazione                                      |   4:28   |  35 MB  |
|    21    | Medley                                                       |   16:23  |  130 MB |
|    22    | Ki ni Naru Sono Ki no Uta                                    |   4:35   |  37 MB  |
|    23    | One Two Three (23 Ver.)                                      |   2:54   |  24 MB  |
|    24    | Kimi Sae Ireba Nani mo Iranai                                |   3:06   |  25 MB  |
|    25    | Wagamama Ki no Mama Ai no Joke (23 Ver.)                     |   4:22   |  36 MB  |
|    26    | Please! Jiyuu no Tobira                                      |   4:07   |  32 MB  |
|    27    | Shabondama                                                   |   3:02   |  24 MB  |
|    28    | Zero Kara Hajimaru Seishun                                   |   5:13   |  37 MB  |
|    29    | Yuujou ~Kokoro no Busu ni wa Naranee!~                       |   3:22   |  25 MB  |
|    30    | Namidacchi                                                   |   3:45   |  27 MB  |
|----------|--------------------------------------------------------------|----------|---------|

