Morning Musume - Morning Musume ALL SINGLES COMPLETE ~10th ANNIVERSARY~ [2007] [Best Album] [24-44 ALAC - WEB]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Morning Coffee                                               |   4:33   |  56 MB  |
|    02    | Summer Night Town                                            |   3:48   |  46 MB  |
|    03    | Daite HOLD ON ME!                                            |   4:22   |  56 MB  |
|    04    | Memory Seishun no Hikari                                     |   5:03   |  65 MB  |
|    05    | Manatsu no Kousen                                            |   5:07   |  66 MB  |
|    06    | Furusato                                                     |   5:16   |  66 MB  |
|    07    | LOVE Machine                                                 |   5:00   |  66 MB  |
|    08    | Koi no Dance Site                                            |   4:26   |  57 MB  |
|    09    | Happy Summer Wedding                                         |   4:46   |  61 MB  |
|    10    | I WISH                                                       |   4:45   |  60 MB  |
|    11    | Ren'ai Revolution 21                                         |   4:50   |  62 MB  |
|    12    | The☆Pea~ce!                                                  |   5:14   |  68 MB  |
|    13    | Mr. Moonlight ~Ai no Big Band~                               |   4:03   |  52 MB  |
|    14    | Souda! We're ALIVE                                           |   4:55   |  65 MB  |
|    15    | Do it! Now                                                   |   4:24   |  57 MB  |
|    16    | Koko ni Iruzee!                                              |   4:26   |  59 MB  |
|    17    | Morning Musume no Hyokkori Hyoutanjima                       |   3:23   |  45 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | AS FOR ONE DAY                                               |   4:16   |  56 MB  |
|    02    | Shabondama                                                   |   4:05   |  54 MB  |
|    03    | Go Girl ~Koi no Victory~                                     |   4:08   |  56 MB  |
|    04    | Ai Araba IT'S ALL RIGHT                                      |   4:33   |  62 MB  |
|    05    | Roman ~MY DEAR BOY~                                          |   3:52   |  52 MB  |
|    06    | Joshi Kashimashi Monogatari                                  |   5:56   |  77 MB  |
|    07    | Namida ga Tomaranai Houkago                                  |   3:42   |  47 MB  |
|    08    | THE Manpower!!!                                              |   4:49   |  62 MB  |
|    09    | Osaka Koi no Uta                                             |   4:11   |  56 MB  |
|    10    | Iroppoi Jirettai                                             |   4:18   |  56 MB  |
|    11    | Chokkan 2 ~Nogashita Sakana wa Ookiizo!~                     |   4:34   |  59 MB  |
|    12    | SEXY BOY ~Soyokaze ni Yorisotte                              |   4:11   |  56 MB  |
|    13    | Ambitious! Yashinteki de Ii jan                              |   4:08   |  55 MB  |
|    14    | Aruiteru                                                     |   4:54   |  64 MB  |
|    15    | Egao YES Nude                                                |   4:05   |  55 MB  |
|    16    | Kanashimi Twilight                                           |   3:43   |  50 MB  |
|    17    | Onna ni Sachi Are                                            |   4:13   |  58 MB  |
|    18    | HELLO TO YOU ~Hello! Project 10 Shuunen Kinen Theme~         |   4:46   |  62 MB  |
|----------|--------------------------------------------------------------|----------|---------|

