Morning Musume - Morning Musume Best Selection ~The 25 Shuunen~ [2023] [Best Album] [24-96 ALAC - WEB]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | HEAVY GATE                                                   |   4:42   |  112 MB |
|    02    | Nanzansho Souzansho                                          |   4:09   |  96 MB  |
|    03    | Swing Swing Paradise                                         |   3:57   |  92 MB  |
|    04    | Happy birthday to Me!                                        |   3:02   |  69 MB  |
|    05    | Chu Chu Chu Bokura no Mirai                                  |   4:28   |  103 MB |
|    06    | Dai Jinsei Never Been Better!                                |   4:51   |  114 MB |
|    07    | Teenage Solution                                             |   4:28   |  108 MB |
|    08    | Yoshi Yoshi Shite Hoshii no                                  |   3:59   |  93 MB  |
|    09    | Beat no Wakusei                                              |   3:44   |  88 MB  |
|    10    | One Two Three (23 Ver.)                                      |   4:27   |  107 MB |
|    11    | Wagamama Ki no Mama Ai no Joke (23 Ver.)                     |   4:13   |  103 MB |
|    12    | What is LOVE? (23 Ver.)                                      |   3:15   |  79 MB  |
|    13    | Kanashiku Naru You na Rainy day                              |   5:00   |  121 MB |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | LOVE Machine (updated 23 Ver.)                               |   4:52   |  115 MB |
|    02    | Ren'ai Revolution 21 (updated 23 Ver.)                       |   4:42   |  115 MB |
|    03    | Souda! We're ALIVE (updated 23 Ver.)                         |   4:43   |  114 MB |
|    04    | Happy Summer Wedding (23 Ver.)                               |   4:49   |  113 MB |
|    05    | The☆Pea~ce! (23 Ver.)                                        |   5:03   |  117 MB |
|    06    | Last Kiss (23 Ver.)                                          |   4:07   |  90 MB  |
|    07    | Chokotto LOVE (23 Ver.)                                      |   4:01   |  93 MB  |
|    08    | Seishun Night (23 Ver.)                                      |   4:06   |  95 MB  |
|    09    | Jealousy Jealousy (23 Ver.)                                  |   4:35   |  108 MB |
|    10    | Kimagure Princess (23 Ver.)                                  |   4:19   |  104 MB |
|    11    | Mikan (23 Ver.)                                              |   4:26   |  104 MB |
|    12    | Roman ~MY DEAR BOY~ (23 Ver.)                                |   3:55   |  92 MB  |
|    13    | Koko ni Iruzee! (23 Ver.)                                    |   4:26   |  107 MB |
|----------|--------------------------------------------------------------|----------|---------|

