Morning Musume - Morning Musume EARLY SINGLE BOX [2004] [Box Set] [FLAC - CD]

Disc 8 - Koi no Dance Site [2000] [Single] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Koi no Dance Site                                            |   4:29   |  33 MB  |
|    02    | Koi wa Rock 'n' Roll                                         |   5:10   |  36 MB  |
|    03    | Koi no Dance Site (Instrumental)                             |   4:29   |  33 MB  |
|    04    | Koi no Dance Site (Groove That Soul Remix)                   |   8:06   |  61 MB  |
|    05    | Koi no Dance Site (M.I.D. KH-R CLUB MIX)                     |   5:34   |  42 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 4 - Memory Seishun no Hikari [1999] [Single] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Memory Seishun no Hikari                                     |   5:05   |  38 MB  |
|    02    | Happy Night                                                  |   5:12   |  39 MB  |
|    03    | Never Forget                                                 |   4:37   |  33 MB  |
|    04    | Memory Seishun no Hikari (Instrumental)                      |   5:05   |  37 MB  |
|    05    | Memory Seishun no Hikari (99.4.18 Live Version)              |   5:31   |  39 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 3 - Daite HOLD ON ME! [1998] [Single] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Daite HOLD ON ME!                                            |   4:25   |  33 MB  |
|    02    | Tatoeba                                                      |   4:06   |  29 MB  |
|    03    | Daite HOLD ON ME! (Instrumental)                             |   4:25   |  33 MB  |
|    04    | Daite HOLD ON ME! (Morning Cop Version)                      |   4:21   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 9 - Original Karaoke [2004] [Album] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Ai no Tane (Instrumental)                                    |   4:15   |  28 MB  |
|    02    | Good Morning (Instrumental)                                  |   4:17   |  30 MB  |
|    03    | Dou ni ka Shite Doyoubi (Instrumental)                       |   3:43   |  27 MB  |
|    04    | Mirai no Tobira (Instrumental)                               |   4:08   |  27 MB  |
|    05    | Usotsuki Anta (Instrumental)                                 |   4:02   |  28 MB  |
|    06    | Happy Night (Instrumental)                                   |   5:12   |  39 MB  |
|    07    | Never Forget (Instrumental)                                  |   4:36   |  33 MB  |
|    08    | Suki de ×5 (Instrumental)                                    |   4:39   |  31 MB  |
|    09    | Papa ni Niteiru Kare (Instrumental)                          |   4:43   |  33 MB  |
|    10    | Senkou Hanabi (Instrumental)                                 |   4:41   |  33 MB  |
|    11    | Da Di Du De Do Da Di! (Instrumental)                         |   5:59   |  43 MB  |
|    12    | Aisha Loan de (Instrumental)                                 |   4:50   |  37 MB  |
|    13    | Kuchizuke no Sono Ato (Instrumental)                         |   4:57   |  39 MB  |
|    14    | DANCE Suru no da! (Instrumental)                             |   4:52   |  37 MB  |
|    15    | Harajuku 6:00 Shuugou (Instrumental)                         |   4:21   |  31 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 7 - LOVE Machine [1999] [Single] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | LOVE Machine                                                 |   5:03   |  39 MB  |
|    02    | 21 Seiki                                                     |   4:52   |  32 MB  |
|    03    | LOVE Machine (Instrumental)                                  |   5:03   |  39 MB  |
|    04    | LOVE Machine (Early Unison Version)                          |   4:58   |  40 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 6 - Furusato [1999] [Single] [FLAC - CD]
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
