Morning Musume - Morning Musume no Musical “Edokko Chuushingura” [2003] [OST] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Dokkoi! Edokko Chuushingura (Edokko Ver.)                    |   1:48   |  15 MB  |
|    02    | Kunoichi Raburabutai no Uta (Full Version)                   |   2:15   |  18 MB  |
|    03    | LET'S GO TOGETHER (Full Ver.)                                |   3:30   |  25 MB  |
|    04    | Seishun no Chikai                                            |   0:51   |  07 MB  |
|    05    | Ottotsuan Kekkon?                                            |   0:18   |  03 MB  |
|    06    | Ottotsuan Kekkon? Part 2                                     |   0:16   |  03 MB  |
|    07    | Suggoi yo!                                                   |   0:32   |  04 MB  |
|    08    | Kuyashii!~~~                                                 |   0:34   |  05 MB  |
|    09    | BAD & BLUE                                                   |   0:40   |  05 MB  |
|    10    | Yabai tte                                                    |   0:31   |  05 MB  |
|    11    | THE Kaitai Shinshou                                          |   0:52   |  07 MB  |
|    12    | Kunoichi Raburatai no Uta (Cool Version)                     |   0:37   |  05 MB  |
|    13    | Kawaraban da yo~!                                            |   1:25   |  11 MB  |
|    14    | Urusai Onna ~Kunoichi Raburabutai VS Okujochuu               |   0:48   |  06 MB  |
|    15    | Nani mo Mayowannai (Full Ver.)                               |   2:44   |  21 MB  |
|    16    | Tachiagare!                                                  |   2:29   |  18 MB  |
|    17    | Dokkoi! Edokko Chuushingura (All Cast Ver.)                  |   2:14   |  18 MB  |
|    18    | Dokkoi! Edokko Chuushingura (inst Heart-Warm Ver.)           |   2:16   |  15 MB  |
|    19    | Kunoichi Raburabutai no Uta (inst Suspense Version)          |   0:42   |  05 MB  |
|    20    | LET'S GO TOGETHER (inst wo Hayashi ver.)                     |   1:42   |  10 MB  |
|    21    | Seishun no Chikai (inst Sanjou ver.)                         |   2:40   |  19 MB  |
|    22    | BAD & BLUE (inst Runrun Odekake ver.)                        |   1:39   |  11 MB  |
|    23    | Tachiagare! (inst Piano ver.)                                |   3:13   |  19 MB  |
|    24    | Dokkoi! Edokko Chuushingura (inst Fusion Ver.)               |   3:37   |  26 MB  |
|    25    | Dokkoi! Edokko Chuushingura (Edokko Ver. Original Karaoke)   |   1:46   |  14 MB  |
|    26    | Kunoichi Raburabutai no Uta (Full Version Original Karaoke)  |   2:15   |  18 MB  |
|----------|--------------------------------------------------------------|----------|---------|

