Morning Musume - Morning Musume no Musical “LOVE Century -Yume ha Minakerya Hajimaranai-” [2001] [OST] [FLAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | WELCOME TO THE Century Land                                  |   2:40   |  18 MB  |
|    02    | Datte no ni Yatteraren!                                      |   1:19   |  09 MB  |
|    03    | DON'T STOP Jinsei                                            |   0:57   |  07 MB  |
|    04    | Doushite? Kamisama                                           |   1:15   |  07 MB  |
|    05    | HEY! HEY! MY DREAM                                           |   1:13   |  09 MB  |
|    06    | Moukichi and Nyorota no Theme Song                           |   0:58   |  07 MB  |
|    07    | Dai Scoop                                                    |   2:02   |  13 MB  |
|    08    | Tsuburekake no (Kabu) Century Land                           |   2:55   |  19 MB  |
|    09    | Ojiichan no Tsukutta Century Land                            |   1:29   |  09 MB  |
|    10    | Watashi ga Watashi de Iru Basho                              |   0:48   |  06 MB  |
|    11    | Show wo Yarimashou!                                          |   1:03   |  07 MB  |
|    12    | I LOVE NEW YORK CITY                                         |   1:20   |  09 MB  |
|    13    | Itsuka Oozora no Shita de                                    |   2:06   |  14 MB  |
|    14    | Imouto wa Mou Inai                                           |   1:40   |  09 MB  |
|    15    | Dekinai Koto wa Nai!                                         |   1:37   |  10 MB  |
|    16    | Shinbunsha ALL RIGHT                                         |   0:59   |  07 MB  |
|    17    | Hard Training                                                |   2:12   |  16 MB  |
|    18    | Wakannessho!                                                 |   0:58   |  06 MB  |
|    19    | Ningen tte Shalala                                           |   1:10   |  07 MB  |
|    20    | I WISH                                                       |   4:47   |  35 MB  |
|    21    | LOVE Century                                                 |   4:38   |  35 MB  |
|----------|--------------------------------------------------------------|----------|---------|

