Morning Musume - Wake up Call from MORNING MUSUME [2000] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Doukyuusei Version                                           |   0:27   |  03 MB  |
|    02    | Imouto Version                                               |   0:19   |  02 MB  |
|    03    | Ganbare Nippon! Version                                      |   0:17   |  02 MB  |
|    04    | Oneesan Version                                              |   0:22   |  02 MB  |
|    05    | Shouakuma Version                                            |   0:15   |  02 MB  |
|    06    | Kansai-ben no Oneesan Version                                |   0:32   |  03 MB  |
|    07    | Kore tte Morning Call Version                                |   0:24   |  02 MB  |
|    08    | Amai Sasayaki Version                                        |   0:19   |  02 MB  |
|    09    | Saisho wa Yasashii no ni...                                  |   0:26   |  03 MB  |
|    10    | 10-byou de Kirai ni Naru zo! Version                         |   0:26   |  02 MB  |
|    11    | Renpatsu                                                     |   2:45   |  15 MB  |
|----------|--------------------------------------------------------------|----------|---------|

