Myrath - Desert Call [2010] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Forever and A Day                                            |   5:40   |  40 MB  |
|    02    | Tempests of Sorrows                                          |   4:42   |  36 MB  |
|    03    | Desert Call                                                  |   7:00   |  52 MB  |
|    04    | Madness                                                      |   6:18   |  47 MB  |
|    05    | Silent Cries                                                 |   10:45  |  76 MB  |
|    06    | Memories                                                     |   4:53   |  32 MB  |
|    07    | Ironic Destiny                                               |   5:44   |  43 MB  |
|    08    | No Turning Back                                              |   5:38   |  41 MB  |
|    09    | Empty Word                                                   |   7:06   |  53 MB  |
|    10    | Shockwave                                                    |   7:17   |  52 MB  |
|    11    | Hard Times                                                   |   8:02   |  59 MB  |
|----------|--------------------------------------------------------------|----------|---------|

