Myrath - Karma [2024] [24-44 Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | To The Stars                                                 |   3:58   |  50 MB  |
|    02    | Into The Light                                               |   4:55   |  62 MB  |
|    03    | Candles Cry                                                  |   4:07   |  53 MB  |
|    04    | Let It Go                                                    |   4:25   |  55 MB  |
|    05    | Words Are Failing                                            |   4:45   |  59 MB  |
|    06    | Wheel Of Time                                                |   4:19   |  56 MB  |
|    07    | Temple Walls                                                 |   3:32   |  46 MB  |
|    08    | Child of Prophecy                                            |   4:27   |  55 MB  |
|    09    | The Empire                                                   |   4:29   |  58 MB  |
|    10    | Heroes                                                       |   4:12   |  54 MB  |
|    11    | Carry On                                                     |   4:28   |  57 MB  |
|----------|--------------------------------------------------------------|----------|---------|

