Myrath - Shehili [2019] [Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Asl                                                          |   1:09   |  13 MB  |
|    02    | Born to Survive                                              |   3:34   |  50 MB  |
|    03    | You've Lost Yourself                                         |   4:52   |  65 MB  |
|    04    | Dance                                                        |   3:47   |  52 MB  |
|    05    | Wicked Dice                                                  |   4:11   |  56 MB  |
|    06    | Monster in My Closet                                         |   4:49   |  65 MB  |
|    07    | Lili Twil                                                    |   3:46   |  53 MB  |
|    08    | No Holding Back                                              |   4:42   |  66 MB  |
|    09    | Stardust                                                     |   4:01   |  51 MB  |
|    10    | Mersal                                                       |   3:43   |  50 MB  |
|    11    | Darkness Arise                                               |   4:32   |  61 MB  |
|    12    | Shehili                                                      |   4:20   |  57 MB  |
|----------|--------------------------------------------------------------|----------|---------|

