Namie Amuro - BEST FICTION [2008] [Best Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Do Me More                                                   |   5:15   |  40 MB  |
|    02    | Wishing On The Same Star                                     |   4:55   |  36 MB  |
|    03    | shine more                                                   |   3:38   |  28 MB  |
|    04    | Put 'Em Up                                                   |   4:04   |  31 MB  |
|    05    | SO CRAZY                                                     |   4:32   |  35 MB  |
|    06    | ALARM                                                        |   4:10   |  32 MB  |
|    07    | ALL FOR YOU                                                  |   5:58   |  42 MB  |
|    08    | GIRL TALK                                                    |   4:22   |  32 MB  |
|    09    | WANT ME, WANT ME                                             |   3:11   |  24 MB  |
|    10    | White Light                                                  |   5:17   |  41 MB  |
|    11    | CAN'T SLEEP, CAN'T EAT, I'M SICK                             |   3:48   |  29 MB  |
|    12    | Baby Don't Cry                                               |   5:20   |  39 MB  |
|    13    | FUNKY TOWN                                                   |   3:49   |  28 MB  |
|    14    | NEW LOOK                                                     |   3:58   |  30 MB  |
|    15    | ROCK STEADY                                                  |   3:29   |  27 MB  |
|    16    | WHAT A FEELING                                               |   3:48   |  29 MB  |
|    17    | Sexy Girl                                                    |   4:39   |  36 MB  |
|----------|--------------------------------------------------------------|----------|---------|

