Namie Amuro - Checkmate! [2011] [Best Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Wonder Woman                                                 |   3:09   |  24 MB  |
|    02    | UNUSUAL                                                      |   4:28   |  35 MB  |
|    03    | make it happen                                               |   3:15   |  24 MB  |
|    04    | ROCK U                                                       |   4:13   |  32 MB  |
|    05    | Do What U Gotta Do                                           |   5:04   |  38 MB  |
|    06    | Wet'N Wild                                                   |   4:48   |  35 MB  |
|    07    | Do or Die                                                    |   4:07   |  29 MB  |
|    08    | FAKE                                                         |   4:15   |  33 MB  |
|    09    | #1                                                           |   3:23   |  24 MB  |
|    10    | BLACK OUT                                                    |   3:43   |  27 MB  |
|    11    | BLACK DIAMOND                                                |   4:03   |  29 MB  |
|    12    | Luvotomy                                                     |   5:15   |  38 MB  |
|    13    | AFTER PARTY                                                  |   5:06   |  29 MB  |
|    14    | WANT ME, WANT ME                                             |   3:09   |  23 MB  |
|----------|--------------------------------------------------------------|----------|---------|

