Namie Amuro - Concentration 20 [1997] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Concentration 20 (make you alright)                          |   4:06   |  28 MB  |
|    02    | B w/z you                                                    |   5:03   |  36 MB  |
|    03    | Close your eyes, Close to you                                |   5:50   |  46 MB  |
|    04    | Me love peace!!                                              |   4:29   |  28 MB  |
|    05    | No Communication                                             |   4:14   |  30 MB  |
|    06    | a walk in the park (album mix)                               |   5:50   |  44 MB  |
|    07    | To-day                                                       |   4:41   |  29 MB  |
|    08    | Storm                                                        |   3:07   |  20 MB  |
|    09    | Whisper                                                      |   5:09   |  38 MB  |
|    10    | CAN YOU CELEBRATE? (album mix)                               |   6:15   |  41 MB  |
|    11    | I know...                                                    |   3:09   |  24 MB  |
|    12    | How to be a Girl                                             |   4:23   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

