Namie Amuro - LIVE STYLE 2014 [2015] [Live Album] [ALAC - WEB]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Ballerina                                                    |   3:00   |  25 MB  |
|    02    | Poison                                                       |   3:56   |  32 MB  |
|    03    | ALARM                                                        |   4:18   |  35 MB  |
|    04    | WANT ME, WANT ME                                             |   3:13   |  25 MB  |
|    05    | Big Boys Cry                                                 |   3:28   |  27 MB  |
|    06    | FUNKY TOWN                                                   |   3:45   |  29 MB  |
|    07    | Contrail                                                     |   4:14   |  32 MB  |
|    08    | Grotesque                                                    |   3:49   |  31 MB  |
|    09    | WHAT A FEELING                                               |   4:00   |  32 MB  |
|    10    | Stardust In My Eyes                                          |   3:31   |  28 MB  |
|    11    | SWEET 19 BLUES                                               |   5:33   |  42 MB  |
|    12    | TSUKI                                                        |   3:42   |  28 MB  |
|    13    | La La La                                                     |   3:23   |  25 MB  |
|    14    | Rainbow                                                      |   2:40   |  20 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Can You Feel This Love                                       |   5:45   |  47 MB  |
|    02    | SWEET KISSES                                                 |   2:49   |  21 MB  |
|    03    | Whisper                                                      |   5:17   |  42 MB  |
|    04    | Alive                                                        |   3:41   |  28 MB  |
|    05    | Love Story                                                   |   4:44   |  33 MB  |
|    06    | The Meaning Of Us                                            |   4:36   |  33 MB  |
|    07    | CAN YOU CELEBRATE?                                           |   6:19   |  45 MB  |
|    08    | Supernatural Love                                            |   4:18   |  35 MB  |
|    09    | Hands On Me                                                  |   4:49   |  39 MB  |
|    10    | ROCK U                                                       |   4:03   |  32 MB  |
|    11    | Heaven                                                       |   3:31   |  29 MB  |
|    12    | Neonlight Lipstick                                           |   4:09   |  33 MB  |
|    13    | BRIGHTER DAY                                                 |   3:58   |  30 MB  |
|    14    | CAN'T SLEEP, CAN'T EAT, I'M SICK                             |   3:19   |  26 MB  |
|    15    | Baby Don't Cry                                               |   5:31   |  42 MB  |
|----------|--------------------------------------------------------------|----------|---------|

