Namie Amuro - LIVE STYLE 2014 ~Live Ballada~ [2015] [Live Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | SWEET 19 BLUES                                               |   5:38   |  41 MB  |
|    02    | CAN YOU CELEBRATE?                                           |   6:25   |  45 MB  |
|    03    | Dreaming I was dreaming                                      |   4:53   |  35 MB  |
|    04    | NEVER END                                                    |   6:56   |  47 MB  |
|    05    | HimAWArI                                                     |   5:00   |  36 MB  |
|    06    | think of me                                                  |   4:25   |  32 MB  |
|    07    | I WILL                                                       |   5:43   |  39 MB  |
|    08    | Wishing On The Same Star                                     |   4:35   |  34 MB  |
|    09    | Four Seasons                                                 |   3:57   |  30 MB  |
|    10    | ALL FOR YOU                                                  |   6:05   |  43 MB  |
|    11    | White Light                                                  |   5:23   |  41 MB  |
|    12    | The Meaning Of Us                                            |   4:35   |  33 MB  |
|    13    | Love Story                                                   |   4:47   |  33 MB  |
|    14    | Let Me Let You Go                                            |   4:10   |  26 MB  |
|    15    | TSUKI                                                        |   3:45   |  28 MB  |
|----------|--------------------------------------------------------------|----------|---------|

