Namie Amuro - PAST ＜ FUTURE [2009] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | FAST CAR                                                     |   3:19   |  25 MB  |
|    02    | COPY THAT                                                    |   4:24   |  34 MB  |
|    03    | LOVE GAME                                                    |   3:38   |  28 MB  |
|    04    | Bad Habit                                                    |   3:09   |  23 MB  |
|    05    | Steal my Night                                               |   3:31   |  27 MB  |
|    06    | FIRST TIMER                                                  |   5:23   |  41 MB  |
|    07    | WILD                                                         |   3:18   |  26 MB  |
|    08    | Dr.                                                          |   5:38   |  38 MB  |
|    09    | Shut Up                                                      |   4:07   |  30 MB  |
|    10    | MY LOVE                                                      |   4:03   |  31 MB  |
|    11    | The Meaning Of Us                                            |   4:27   |  29 MB  |
|    12    | Defend Love                                                  |   4:03   |  29 MB  |
|----------|--------------------------------------------------------------|----------|---------|

