Namie Amuro - Queen of Hip-Pop [2005] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Queen of Hip-Pop                                             |   3:14   |  25 MB  |
|    02    | WANT ME, WANT ME                                             |   3:10   |  24 MB  |
|    03    | WoWa                                                         |   4:09   |  31 MB  |
|    04    | I Wanna Show You My Love                                     |   3:39   |  29 MB  |
|    05    | GIRL TALK                                                    |   4:22   |  33 MB  |
|    06    | Free                                                         |   4:19   |  32 MB  |
|    07    | My Darling                                                   |   4:14   |  33 MB  |
|    08    | Ups & Downs duet with Nao'ymt                                |   3:46   |  27 MB  |
|    09    | I Love You                                                   |   4:16   |  32 MB  |
|    10    | ALL FOR YOU                                                  |   5:57   |  43 MB  |
|    11    | ALARM                                                        |   4:10   |  32 MB  |
|    12    | No                                                           |   7:07   |  49 MB  |
|----------|--------------------------------------------------------------|----------|---------|

