Namie Amuro - SWEET 19 BLUES [1996] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | watch your step!!                                            |   0:04   |  00 MB  |
|    02    | motion                                                       |   0:50   |  04 MB  |
|    03    | LET'S DO THE MOTION                                          |   4:07   |  31 MB  |
|    04    | PRIVATE                                                      |   5:36   |  38 MB  |
|    05    | Interlude ~ Ocean way                                        |   1:05   |  06 MB  |
|    06    | Don't wanna cry (Eighteen's Summer Mix)                      |   5:40   |  43 MB  |
|    07    | Rainy DANCE                                                  |   3:42   |  26 MB  |
|    08    | Chase the Chance (CC Mix)                                    |   4:38   |  38 MB  |
|    09    | Interlude ~ Joy                                              |   1:19   |  08 MB  |
|    10    | I'll JUMP                                                    |   5:19   |  41 MB  |
|    11    | Interlude ~ Scratch Voices                                   |   0:04   |  00 MB  |
|    12    | i was a fool                                                 |   4:36   |  34 MB  |
|    13    | present                                                      |   4:35   |  33 MB  |
|    14    | Interlude ~ Don't wanna cry Symphonic Style                  |   1:23   |  06 MB  |
|    15    | You're my sunshine (Hollywood Mix)                           |   5:42   |  41 MB  |
|    16    | Body Feels EXIT (Latin House Mix)                            |   8:51   |  68 MB  |
|    17    | '77~                                                         |   1:45   |  11 MB  |
|    18    | SWEET 19 BLUES                                               |   5:38   |  38 MB  |
|    19    | ...soon nineteen                                             |   1:52   |  09 MB  |
|----------|--------------------------------------------------------------|----------|---------|

