Nox Aurea - Via Gnosis [2009] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Opus Draconus                                                |   1:55   |  12 MB  |
|    02    | The Funeral of All                                           |   10:18  |  68 MB  |
|    03    | Suffer                                                       |   7:49   |  52 MB  |
|    04    | Odium Divinum                                                |   11:11  |  76 MB  |
|    05    | Nights In Solitude                                           |   2:19   |  11 MB  |
|    06    | Distant Stars                                                |   2:19   |  11 MB  |
|    07    | Lost Amongst the Earth and Sky                               |   9:01   |  61 MB  |
|    08    | Mother Aletheia                                              |   12:31  |  87 MB  |
|    09    | Via Gnosis                                                   |   6:26   |  25 MB  |
|----------|--------------------------------------------------------------|----------|---------|

