Opeth - In Cauda Venenum (Extended Edition) [2022] [Album] [24-48 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Garden of Earthly Delights                                   |   3:29   |  36 MB  |
|    02    | Dignity                                                      |   6:36   |  82 MB  |
|    03    | Heart in Hand                                                |   8:30   |  108 MB |
|    04    | Next of Kin                                                  |   7:10   |  88 MB  |
|    05    | Lovelorn Crime                                               |   6:34   |  78 MB  |
|    06    | Charlatan (English Version)                                  |   5:29   |  68 MB  |
|    07    | Universal Truth                                              |   7:30   |  90 MB  |
|    08    | The Garroter                                                 |   6:45   |  82 MB  |
|    09    | Continuum                                                    |   7:22   |  93 MB  |
|    10    | All Things Will Pass                                         |   8:35   |  104 MB |
|    11    | The Mob                                                      |   4:36   |  59 MB  |
|    12    | Width of a Circle                                            |   5:31   |  71 MB  |
|    13    | Freedom & Tyranny                                            |   4:35   |  57 MB  |
|    01    | Livets Trädgård                                              |   3:29   |  36 MB  |
|    02    | Svekets Prins                                                |   6:36   |  82 MB  |
|    03    | Hjärtat Vet Vad Handen Gör                                   |   8:29   |  108 MB |
|    04    | De Närmast Sörjande                                          |   7:10   |  88 MB  |
|    05    | Minnets Yta                                                  |   6:34   |  78 MB  |
|    06    | Charlatan                                                    |   5:29   |  68 MB  |
|    07    | Ingen Sanning Är Allas                                       |   7:21   |  88 MB  |
|    08    | Banemannen                                                   |   6:43   |  81 MB  |
|    09    | Kontinuerlig Drift                                           |   7:23   |  93 MB  |
|    10    | Allting Tar Slut                                             |   8:31   |  104 MB |
|    11    | Pöbeln                                                       |   4:36   |  59 MB  |
|    12    | Cirkelns Riktning                                            |   5:31   |  71 MB  |
|    13    | Frihet & Tyranni                                             |   4:35   |  57 MB  |
|----------|--------------------------------------------------------------|----------|---------|

