Painthing - Where Are You Now... [2018] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Between                                                      |   8:27   |  110 MB |
|    02    | Widow and the King                                           |   7:37   |  98 MB  |
|    03    | Buzz and Madness                                             |   6:51   |  92 MB  |
|    04    | The Shell I Live In                                          |   7:58   |  102 MB |
|    05    | Psychosis 4:48                                               |   7:51   |  102 MB |
|    06    | Only Death Will Divide Us                                    |   5:59   |  81 MB  |
|    07    | To Live Is to Fight                                          |   7:53   |  101 MB |
|    08    | So Be It                                                     |   3:42   |  43 MB  |
|----------|--------------------------------------------------------------|----------|---------|

