REIGN - VIRGINITY [1999] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Introduction                                                 |   1:06   |  09 MB  |
|    02    | OPERA (album style)                                          |   4:55   |  38 MB  |
|    03    | MAKE-UP PLEASURE                                             |   4:53   |  38 MB  |
|    04    | FLY~Into your sky~                                           |   5:53   |  40 MB  |
|    05    | ZERO                                                         |   5:27   |  45 MB  |
|    06    | MIDNIGHT RUN                                                 |   3:58   |  32 MB  |
|    07    | VIRGINITY                                                    |   3:56   |  26 MB  |
|    08    | ROMANCE                                                      |   4:07   |  32 MB  |
|    09    | REIGN                                                        |   3:05   |  25 MB  |
|    10    | INNOCENCE                                                    |   4:21   |  33 MB  |
|    11    | REAL MISSION                                                 |   5:44   |  48 MB  |
|    12    | Everlasting                                                  |   4:44   |  29 MB  |
|----------|--------------------------------------------------------------|----------|---------|

