SCREW - Brilliant (Premium Edition) [2016] [Best Album] [FLAC - CD]

Disc 1 - Melodies Best 2006 - 2010
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | S=r&b (BRAINSTORM ver.)                                      |   5:47   |  43 MB  |
|    02    | Death's door                                                 |   4:07   |  33 MB  |
|    03    | VANQUISH                                                     |   3:36   |  28 MB  |
|    04    | VEGAS                                                        |   4:00   |  32 MB  |
|    05    | RAGING BLOOD                                                 |   3:49   |  30 MB  |
|    06    | Wailing Wall                                                 |   3:40   |  26 MB  |
|    07    | Gather Roses                                                 |   3:40   |  28 MB  |
|    08    | KAIROS                                                       |   3:36   |  28 MB  |
|    09    | Genei no Kusari                                              |   4:23   |  32 MB  |
|    10    | Anaphylaxis                                                  |   3:00   |  23 MB  |
|    11    | Cursed Hurricane                                             |   3:45   |  28 MB  |
|    12    | ANCIENT RAIN                                                 |   5:38   |  43 MB  |
|    13    | DUALITY                                                      |   3:23   |  27 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2 - Melodies Best 2011 - 2016
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | DEEP SIX                                                     |   3:54   |  30 MB  |
|    02    | BRAINSTORM                                                   |   4:03   |  29 MB  |
|    03    | The Abyss                                                    |   3:56   |  28 MB  |
|    04    | XANADU                                                       |   3:45   |  28 MB  |
|    05    | Teardrop                                                     |   4:40   |  36 MB  |
|    06    | Red Thread                                                   |   3:35   |  29 MB  |
|    07    | CAVALCADE                                                    |   3:57   |  31 MB  |
|    08    | FUGLY                                                        |   4:01   |  32 MB  |
|    09    | SPIRAL OF MISTRUST                                           |   3:40   |  30 MB  |
|    10    | ANITYA                                                       |   3:52   |  30 MB  |
|    11    | OVER THE HORIZON                                             |   3:37   |  28 MB  |
|    12    | Brilliant                                                    |   3:52   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 3 - Memories Best 2006 - 2010
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Zansatsu Fiction (Brilliant ver.)                            |   3:25   |  25 MB  |
|    02    | Jukai ni Saku Ai                                             |   7:08   |  48 MB  |
|    03    | Nanairo (Brilliant ver.)                                     |   4:39   |  35 MB  |
|    04    | Itari Kou wo Kuruwasu Hankaina Tenbin (FUGLY ver.)           |   4:07   |  32 MB  |
|    05    | Shirayuki to Mau                                             |   5:13   |  40 MB  |
|    06    | THICK-SKINNED†CONTRADICTION                                  |   4:17   |  32 MB  |
|    07    | Dearest Wish (Brilliant ver.)                                |   4:47   |  35 MB  |
|    08    | Scarlet                                                      |   4:10   |  33 MB  |
|    09    | Akikaze                                                      |   4:34   |  34 MB  |
|    10    | Doukoku no Ato                                               |   4:02   |  31 MB  |
|    11    | Kare On                                                      |   3:46   |  28 MB  |
|    12    | Self-Injurious                                               |   3:44   |  28 MB  |
|    13    | Vll CARDINAL SINS                                            |   3:23   |  23 MB  |
|    14    | Haze                                                         |   3:22   |  25 MB  |
|    15    | Barbed wire                                                  |   3:25   |  26 MB  |
|    16    | Sono Koe ga Kikoenakunatte Ano Ko ga Mou Mienakunatta        |   4:33   |  33 MB  |
|    17    | as cold as marble                                            |   4:08   |  31 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 4 - Memories Best 2011 - 2015
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Fester                                                       |   3:00   |  24 MB  |
|    02    | Sakura to Ame                                                |   3:40   |  28 MB  |
|    03    | DIE KILLER DEAD                                              |   3:04   |  22 MB  |
|    04    | UNWORLDLINESS KINGDOM                                        |   2:22   |  18 MB  |
|    05    | Jashin ni Tadaru Komoriuta                                   |   4:39   |  30 MB  |
|    06    | Wing-Ding                                                    |   3:23   |  24 MB  |
|    07    | Saezuru Yaiba                                                |   3:58   |  31 MB  |
|    08    | Blood Sucking Freak                                          |   3:22   |  28 MB  |
|    09    | Hohoemi wo Nakushita Ai to Jiyuu                             |   4:25   |  29 MB  |
|    10    | Masquerade                                                   |   3:23   |  28 MB  |
|    11    | death candle                                                 |   4:28   |  32 MB  |
|    12    | Get You Back                                                 |   3:04   |  24 MB  |
|    13    | mellow                                                       |   3:36   |  27 MB  |
|    14    | Zetsubou no Sanbika                                          |   4:41   |  36 MB  |
|    15    | THE ETERNAL FLAME                                            |   4:01   |  32 MB  |
|    16    | NAMU AMIDA BUDDHA                                            |   3:28   |  27 MB  |
|    17    | ARE YOU READY?                                               |   3:12   |  25 MB  |
|    18    | REMEMBER ME                                                  |   4:36   |  32 MB  |
|    19    | FASCIST                                                      |   3:09   |  23 MB  |
|    20    | BREAK AWAY                                                   |   3:43   |  29 MB  |
|----------|--------------------------------------------------------------|----------|---------|

