SID - Hoshi no Miyako [2005] [Album] [ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Rigoame                                                      |   3:42   |  28 MB  |
|    02    | Alibi                                                        |   4:04   |  31 MB  |
|    03    | Sono Daishou                                                 |   4:26   |  32 MB  |
|    04    | Caramel                                                      |   4:58   |  34 MB  |
|    05    | Aikagi -unplugged ver.-                                      |   4:53   |  29 MB  |
|    06    | Hoshi no Miyako                                              |   3:57   |  29 MB  |
|    07    | Yell                                                         |   3:26   |  26 MB  |
|    08    | Sweet?                                                       |   4:05   |  33 MB  |
|    09    | Izon no Niwa                                                 |   3:54   |  25 MB  |
|    10    | Toge to Neko                                                 |   3:38   |  26 MB  |
|    11    | Binetsu                                                      |   4:20   |  31 MB  |
|----------|--------------------------------------------------------------|----------|---------|

