SINCREA - PANDORA [2009] [Album] [24-44 ALAC - WEB]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Transient Gig #3 -opening the box-                           |   1:23   |  15 MB  |
|    02    | PANDORA 21                                                   |   3:59   |  52 MB  |
|    03    | Glass no Namida                                              |   3:58   |  51 MB  |
|    04    | Fantastic Voyage                                             |   3:31   |  44 MB  |
|    05    | Sakura Maichiru Kisetsu ni Kimi ga Yumemita Koto             |   4:49   |  61 MB  |
|    06    | PLEASE PLEASE ME                                             |   3:29   |  45 MB  |
|    07    | Mune Ippai no Ai wo                                          |   4:17   |  53 MB  |
|    08    | LA PAROMA                                                    |   3:41   |  45 MB  |
|    09    | Xmas Day (PANDORA Version)                                   |   4:51   |  59 MB  |
|    10    | ageha jou                                                    |   3:33   |  45 MB  |
|    11    | SUICIDE ISLAND                                               |   3:53   |  48 MB  |
|    12    | OVERDRIVE                                                    |   4:31   |  59 MB  |
|    13    | CANDLE                                                       |   3:48   |  45 MB  |
|    14    | Transient Gig #4 -closing the box-                           |   1:18   |  13 MB  |
|----------|--------------------------------------------------------------|----------|---------|

