SMAP - SMAP 007 ~Gold Singer~ [1995] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | KANSHA Shite (wah wah version)                               |   4:17   |  31 MB  |
|    02    | Loose na Morning                                             |   3:51   |  29 MB  |
|    03    | Ame ga Yamanai                                               |   4:43   |  35 MB  |
|    04    | Shiyou yo                                                    |   4:46   |  34 MB  |
|    05    | Setsunasa ga Itai                                            |   5:07   |  34 MB  |
|    06    | Kanjiyasui Fukigen                                           |   4:37   |  34 MB  |
|    07    | Tabun Alright                                                |   4:34   |  33 MB  |
|    08    | Kimi ga Inai                                                 |   4:47   |  34 MB  |
|    09    | Hitoshirezu Battle                                           |   4:09   |  29 MB  |
|    10    | A Day in the Life                                            |   5:08   |  36 MB  |
|    11    | Alone in the Rain                                            |   4:22   |  27 MB  |
|    12    | Sore ga Boku no Kotae                                        |   5:35   |  36 MB  |
|    13    | Theme of 007 (James Bond Theme)                              |   5:20   |  35 MB  |
|----------|--------------------------------------------------------------|----------|---------|

