SMAP - SMAP 008 TACOMAX [1996] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Theme of 008 (piano sonata no.8)                             |   2:22   |  14 MB  |
|    02    | Ki ni Naru                                                   |   4:22   |  33 MB  |
|    03    | Oretachi ni Ashita wa Aru                                    |   4:16   |  34 MB  |
|    04    | Wakatte Hoshii                                               |   5:43   |  43 MB  |
|    05    | Donna Ii Koto                                                |   4:23   |  32 MB  |
|    06    | Ocha demo Dou kana?                                          |   3:46   |  28 MB  |
|    07    | Soreja Mata                                                  |   3:27   |  26 MB  |
|    08    | Koi ni Utsutsu no Crazy                                      |   4:21   |  33 MB  |
|    09    | Koe wo Kiku yori mo                                          |   3:54   |  26 MB  |
|    10    | Slicker's Blues                                              |   5:13   |  38 MB  |
|    11    | EAO                                                          |   4:16   |  30 MB  |
|    12    | Koi ga Aru kara Yononaka desu                                |   3:49   |  28 MB  |
|    13    | Munasawagi wo Tanomu yo                                      |   5:17   |  39 MB  |
|----------|--------------------------------------------------------------|----------|---------|

