SMAP - SMAP 009 [1996] [Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Relax                                                        |   5:12   |  39 MB  |
|    02    | Marathon                                                     |   5:03   |  37 MB  |
|    03    | Namikaze mo Warukunai                                        |   3:50   |  28 MB  |
|    04    | Denwa Shiyou Kana                                            |   5:07   |  35 MB  |
|    05    | Kimi wo Dakishimetai                                         |   5:42   |  43 MB  |
|    06    | Natsu ga Kuru                                                |   4:25   |  33 MB  |
|    07    | Shampoo 3                                                    |   4:29   |  33 MB  |
|    08    | Harlem River Drive                                           |   4:20   |  32 MB  |
|    09    | Ano Natsu no Hi                                              |   5:00   |  33 MB  |
|    10    | Hadaka no Ousama ~Shinbutoku Tsuyoku~                        |   3:58   |  29 MB  |
|----------|--------------------------------------------------------------|----------|---------|

