SMAP - SMAP 25 YEARS [2016] [Best Album] [FLAC - CD]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Can't Stop!! -LOVING-                                        |   5:10   |  42 MB  |
|    02    | BEST FRIEND                                                  |   3:46   |  27 MB  |
|    03    | Egao no Genki                                                |   4:31   |  36 MB  |
|    04    | Kimi wa Kimi da yo                                           |   4:38   |  35 MB  |
|    05    | Doushitemo Kimigaii                                          |   4:29   |  37 MB  |
|    06    | $10                                                          |   4:26   |  36 MB  |
|    07    | Kimi Iro Omoi                                                |   4:42   |  38 MB  |
|    08    | Original Smile                                               |   5:05   |  41 MB  |
|    09    | Ganbarimashou                                                |   3:47   |  31 MB  |
|    10    | Oretachi ni Asu wa Aru                                       |   4:15   |  34 MB  |
|    11    | Aoi Inazuma                                                  |   4:36   |  37 MB  |
|    12    | SHAKE                                                        |   4:21   |  35 MB  |
|    13    | Dynamite                                                     |   4:48   |  38 MB  |
|    14    | Yozora no Mukou                                              |   4:33   |  34 MB  |
|    15    | Taisetsu                                                     |   3:55   |  31 MB  |
|    16    | Five True Love                                               |   4:33   |  35 MB  |
|    17    | Lion Heart                                                   |   4:24   |  32 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Orange                                                       |   5:00   |  37 MB  |
|    02    | freebird                                                     |   4:34   |  36 MB  |
|    03    | FIVE RESPECT                                                 |   6:09   |  49 MB  |
|    04    | Sekai ni Hitotsu Dake no Hana                                |   4:40   |  37 MB  |
|    05    | Boku wa Kimi wo Tsurete Yuku                                 |   4:38   |  34 MB  |
|    06    | SUMMER GATE                                                  |   4:32   |  37 MB  |
|    07    | A Song For Your Love                                         |   4:38   |  35 MB  |
|    08    | Summer Time Blues                                            |   5:15   |  35 MB  |
|    09    | Susume!                                                      |   5:22   |  41 MB  |
|    10    | SONG OF X'SMAP                                               |   5:23   |  43 MB  |
|    11    | BANG! BANG! Vacance!                                         |   4:28   |  36 MB  |
|    12    | Dawn                                                         |   5:25   |  43 MB  |
|    13    | Fine, Peace!                                                 |   4:48   |  36 MB  |
|    14    | Triangle                                                     |   5:00   |  37 MB  |
|    15    | Dear WOMAN                                                   |   4:47   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 3
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Arigatou                                                     |   4:53   |  39 MB  |
|    02    | Simple                                                       |   4:38   |  36 MB  |
|    03    | STAY                                                         |   4:58   |  37 MB  |
|    04    | Kono Toki, Kitto Yume ja Nai                                 |   3:40   |  29 MB  |
|    05    | Hajimari no Uta                                              |   4:15   |  33 MB  |
|    06    | Douka Todoki Masu Youni                                      |   4:32   |  35 MB  |
|    07    | Chomolungma no Uta                                           |   1:46   |  12 MB  |
|    08    | Sakasama no Sora                                             |   4:35   |  35 MB  |
|    09    | Te wo Tsunagou                                               |   5:01   |  38 MB  |
|    10    | gift                                                         |   4:19   |  35 MB  |
|    11    | Mae ni!                                                      |   3:28   |  26 MB  |
|    12    | CRAZY FIVE                                                   |   8:47   |  62 MB  |
|    13    | Battery                                                      |   3:42   |  30 MB  |
|    14    | Joy!!                                                        |   3:57   |  31 MB  |
|    15    | Shareotsu                                                    |   4:03   |  33 MB  |
|    16    | Amazing Discovery                                            |   3:52   |  33 MB  |
|    17    | Beautiful Day                                                |   4:13   |  34 MB  |
|    18    | Karei naru Gyakushu                                          |   4:11   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

