SMAP - SMAP AID [2011] [Best Album] [FLAC - CD]

|----------|---------------------------------------------------------------------------|----------|---------|
|   TRACK  |                                   TITLE                                   | DURATION |   SIZE  |
|----------|---------------------------------------------------------------------------|----------|---------|
|    01    | freebird                                                                  |   4:35   |  33 MB  |
|    02    | Fine, Peace!                                                              |   4:48   |  34 MB  |
|    03    | This is love                                                              |   4:48   |  37 MB  |
|    04    | Ganbarimashou                                                             |   3:47   |  29 MB  |
|    05    | Kono Toki, Kitto Yume Janai                                               |   3:42   |  27 MB  |
|    06    | Douka Todokimasu You ni                                                   |   4:33   |  34 MB  |
|    07    | Yozora no Mukou                                                           |   4:34   |  31 MB  |
|    08    | Orange                                                                    |   5:01   |  36 MB  |
|    09    | STAY                                                                      |   4:59   |  35 MB  |
|    10    | Arigatou                                                                  |   4:53   |  38 MB  |
|    11    | Sekai ni Hitotsu Dake no Hana (Single Version)                            |   4:41   |  34 MB  |
|    12    | Susume!                                                                   |   5:22   |  39 MB  |
|    13    | not alone ~Shiawase ni Narou yo~                                          |   4:20   |  31 MB  |
|    14    | Hajimari no Uta                                                           |   4:16   |  31 MB  |
|    15    | Original Smile                                                            |   5:08   |  38 MB  |
|    16    | Shìjiè Shàng Wéiyī De Huā (Sekai ni Hitotsu Dake no Hana Chinese Version) |   4:40   |  35 MB  |
|----------|---------------------------------------------------------------------------|----------|---------|

