SMAP - Smap Vest [2011] [Best Album] [FLAC - CD]

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | 01. KANSHA Shite                                             |   4:19   |  31 MB  |
|    02    | 02. Tabun All Right                                          |   4:36   |  34 MB  |
|    03    | 03. Ganbarimashou                                            |   3:48   |  29 MB  |
|    04    | 04. Original Smile                                           |   5:06   |  38 MB  |
|    05    | 05. Hey Hey Ooki ni Maido Ari                                |   3:37   |  26 MB  |
|    06    | 06. Kimi Iro Omoi                                            |   4:43   |  34 MB  |
|    07    | 07. $10                                                      |   4:27   |  34 MB  |
|    08    | 08. Kimi wa Kimi da yo                                       |   4:39   |  32 MB  |
|    09    | 09. Hajimete no Natsu                                        |   4:52   |  36 MB  |
|    10    | 10. Zutto Wasurenai                                          |   5:53   |  42 MB  |
|    11    | 11. Yuki ga Futte Kita                                       |   5:05   |  39 MB  |
|    12    | 12. Egao no Genki                                            |   4:32   |  34 MB  |
|    13    | 13. Makeruna Baby! ~Never give up                            |   3:57   |  28 MB  |
|    14    | 14. Kokoro no Kagami                                         |   4:14   |  31 MB  |
|    15    | 15. Seigi no Mikata wa Ate ni Naranai                        |   5:15   |  38 MB  |
|    16    | 16. Can't Stop!! -LOVING-                                    |   5:09   |  38 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Lion Heart                                                   |   4:22   |  30 MB  |
|    02    | Let It Be                                                    |   4:11   |  32 MB  |
|    03    | Fly                                                          |   4:58   |  33 MB  |
|    04    | Asahi wo Mi ni Ikou yo                                       |   5:06   |  35 MB  |
|    05    | Taisetsu                                                     |   3:57   |  30 MB  |
|    06    | Yozora no Mukou                                              |   4:34   |  31 MB  |
|    07    | Peace!                                                       |   4:42   |  37 MB  |
|    08    | Celery                                                       |   4:04   |  27 MB  |
|    09    | Dynamite                                                     |   4:49   |  35 MB  |
|    10    | SHAKE                                                        |   4:22   |  32 MB  |
|    11    | Aoi Inazuma                                                  |   4:38   |  34 MB  |
|    12    | Hadaka no Oosama ~Shibutoku Tsuyoku~                         |   3:58   |  29 MB  |
|    13    | Munasawagi wo Tanomu yo                                      |   5:18   |  39 MB  |
|    14    | Oretachi ni Ashita wa Aru                                    |   4:17   |  33 MB  |
|    15    | Donna Ii Koto                                                |   4:22   |  31 MB  |
|    16    | Shiyou yo                                                    |   4:45   |  34 MB  |
|----------|--------------------------------------------------------------|----------|---------|

