SMAP - We are SMAP! [2010] [Album] [FLAC - CD]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | We are SMAP! -Funky Lude-                                    |   0:44   |  06 MB  |
|    02    | SWING                                                        |   4:37   |  34 MB  |
|    03    | Boku no Subarashii Jinsei                                    |   4:30   |  34 MB  |
|    04    | Sotto Kyutto                                                 |   5:00   |  35 MB  |
|    05    | Trust                                                        |   5:37   |  41 MB  |
|    06    | FEEL IT                                                      |   3:15   |  25 MB  |
|    07    | GAIA ni Onegai                                               |   3:29   |  25 MB  |
|    08    | Hinageshi                                                    |   6:05   |  39 MB  |
|    09    | Mijikai Kami                                                 |   4:33   |  31 MB  |
|    10    | Magic Time                                                   |   5:26   |  37 MB  |
|    11    | Love & Peace Inside?                                         |   5:55   |  41 MB  |
|    12    | We are SMAP! -Bounce Lude-                                   |   0:55   |  07 MB  |
|    13    | SMAP no Positive Dance                                       |   5:25   |  39 MB  |
|    14    | Going Over                                                   |   4:45   |  34 MB  |
|    15    | Cry for the Smile                                            |   4:27   |  31 MB  |
|    16    | We are SMAP!                                                 |   7:35   |  52 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Memory ~June~                                                |   4:52   |  32 MB  |
|    02    | Kimi no Mama de...                                           |   4:55   |  31 MB  |
|    03    | Ai ya Koi ya                                                 |   4:27   |  33 MB  |
|    04    | Kaette Kita Yopparai                                         |   3:52   |  27 MB  |
|    05    | No Way Out                                                   |   4:03   |  30 MB  |
|----------|--------------------------------------------------------------|----------|---------|

