SMAP - pamS [2011] [Best Album] [FLAC - CD]

|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Yuki ga Futte Kita (ballad version)                          |   2:12   |  12 MB  |
|    02    | Orange                                                       |   5:01   |  36 MB  |
|    03    | Koi no Katachi (2001 version)                                |   4:13   |  29 MB  |
|    04    | Ieba Yokatta                                                 |   4:17   |  31 MB  |
|    05    | Hitoeki Arukou                                               |   5:27   |  40 MB  |
|    06    | Soreja Mata                                                  |   3:28   |  27 MB  |
|    07    | Kimi to Boku no Rokkagetsu                                   |   4:03   |  31 MB  |
|    08    | Major (2001 version)                                         |   3:39   |  26 MB  |
|    09    | Nakitai Kimochi                                              |   5:21   |  40 MB  |
|    10    | Doushitemo Kimi ga Ii                                        |   4:31   |  35 MB  |
|    11    | Kanashii Hodo Aoi Sora                                       |   5:16   |  41 MB  |
|    12    | If You Give Your Heart                                       |   4:43   |  33 MB  |
|    13    | BEST FRIEND (2001 version)                                   |   4:08   |  27 MB  |
|    14    | Part Time Kiss (2001 version)                                |   4:44   |  34 MB  |
|    15    | Sayonara no Koibito (2001 version)                           |   4:40   |  31 MB  |
|    16    | Don't Cry Baby                                               |   3:58   |  31 MB  |
|    17    | Donna Ii Koto (Every You)                                    |   4:18   |  31 MB  |
|----------|--------------------------------------------------------------|----------|---------|

