SMAP - super.modern.artistic.performance [2008] [Album] [FLAC - CD]

Disc 1
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Theme of 019 super.modern.artistic.performance               |   1:35   |  10 MB  |
|    02    | Kono Toki, Kitto Yume Janai                                  |   3:42   |  26 MB  |
|    03    | Jazz                                                         |   4:57   |  36 MB  |
|    04    | Love loser                                                   |   4:27   |  32 MB  |
|    05    | Anata no Tameni de Kirutoko                                  |   5:08   |  32 MB  |
|    06    | Keep on                                                      |   3:48   |  27 MB  |
|    07    | Mermaid                                                      |   4:34   |  34 MB  |
|    08    | Hitotsu Dake no Ai ~ Ave Maria                               |   4:11   |  28 MB  |
|    09    | Hajimari no Uta                                              |   4:16   |  30 MB  |
|    10    | Kokoro Puzzle Rhythm                                         |   4:23   |  35 MB  |
|    11    | Sonomama                                                     |   5:07   |  34 MB  |
|    12    | Last Smile                                                   |   5:40   |  39 MB  |
|    13    | Still U                                                      |   3:29   |  24 MB  |
|    14    | Douka Todokimasu You ni                                      |   4:32   |  33 MB  |
|----------|--------------------------------------------------------------|----------|---------|

Disc 2
|----------|--------------------------------------------------------------|----------|---------|
|   TRACK  |                             TITLE                            | DURATION |   SIZE  |
|----------|--------------------------------------------------------------|----------|---------|
|    01    | Miyashita Gatsukuttauta                                      |   5:49   |  40 MB  |
|    02    | Style                                                        |   4:52   |  34 MB  |
|    03    | Life Walker                                                  |   5:11   |  36 MB  |
|    04    | Sou Desu!                                                    |   3:22   |  24 MB  |
|    05    | Here Is Your Hit                                             |   3:17   |  22 MB  |
|----------|--------------------------------------------------------------|----------|---------|

